"1. What is the period from birth to natural death of an organism known as?","a) Life span","b) Senescence","c) Age","d) Life cycle","Answer: a"
"2. Reproduction is defined as a biological process of organisms giving rise to young ones or offspring.","a) True","b) False","Answer: a"
"3. What is the term used to describe genetic and morphologic similarities between different individuals?","a) Offspring","b) Clone","c) Gamete","d) Cell","Answer: b"
"4. What type of reproduction does the image depict?","","a) Vegetative propagation","b) Fragmentation","c) Budding","d) Binary fission","Answer: d"
"5. Which plant is the “terror of Bengal”?","a) Cereus","b) Corpse plant","c) Water hyacinth","d) Cactus","Answer: c"
"6. From where do rhizomes arise?","a) Roots","b) Leaves","c) Buds","d) Nodes","Answer: d"
"7. How does Bryophyllum reproduce?","a) Leaves","b) Stem","c) Roots","d) Nodes","Answer: a"
"8. Sexual reproduction is better than asexual reproduction.","a) False","b) True","Answer: b"
"9. Fusion of gametes forms a zygote.","a) False","b) True","Answer: b"
"10. What is the period of growth known as in plants?","a) Senescence","b) Juvenile phase","c) Reproductive phase","d) Vegetative phase","Answer: d"
"1. Which of the following undergoes binary fission?","a) Amoeba","b) Hydra","c) Yeast","d) Ring worm","Answer: a"
"2. How does hydra reproduce?","a) Gemmules","b) Budding","c) Conidia","d) Zoospores","Answer: a"
"3. Which organism undergoes the phenomenon of encystation?","a) Plants","b) Amoeba","c) Ring worm","d) Fungi","Answer: b"
"4. Amoeba undergoes sporulation.","a) False","b) True","Answer: b"
"5. What does the following image depict?","","a) Buds in yeast","b) Zoospores in Chlamydomonas","c) Conidia in Penicillium","d) Gemmules in sponges","Answer: d"
"6. Which one of the following is an example of a runner?","a) Lolium multiflorum","b) Narcissus","c) Bryophyllum daigremontianum","d) Kalanchoe","Answer: a"
"7. What is budding also called in yeast?","a) Archaeocytes","b) Vegetative propagation","c) Torulation","d) Fragmentation","Answer: c"
"8. Which of the following is not an example of vegetative propagation?","a) Offset","b) Sucker","c) Rhizome","d) Fragmentation","Answer: d"
"9. Which of the following is commonly known as walking fern?","a) Kalanchoe","b) Saintpaulia","c) Begonia","d) Adiantum caudatum","Answer: d"
"10. Offset can also be described as a ______","a) Thick runner","b) Thin tuber","c) Long rhizome","d) Short suckers","Answer: a"
"1. Binary fission are of 2 types.","a) True","b) False","Answer: a"
"2. What are non-motile fungal spores also known as?","a) Gemmules","b) Nodes","c) Conidia","d) Zoospores","Answer: c"
"3. Which type of vegetative propagation does the following image depict?","","a) Rhizome","b) Tuber","c) Bulbils","d) Leaves","Answer: b"
"4. Which vegetative propagation does the following image depict?","","a) By leaves","b) By nodes","c) By spores","d) By flower buds","Answer: a"
"5. Which of the following is a vegetative propagation by sub aerial stems?","a) Tuber","b) Rhizome","c) Bulbils","d) Sucker","Answer: d"
"6. Which of the following is an example of a bulb?","a) Tulip","b) Oxalis","c) Bryophyllum daigremontianum","d) Kalanchoe","Answer: a"
"7. Which of the following is not an example of sub aerial vegetative propagation?","a) Sucker","b) Offset","c) Runner","d) Bulbils","Answer: d"
"8. How does a starfish reproduce?","a) Lays eggs","b) Budding","c) Binary fission","d) Fragmentation","Answer: c"
"9. How are male honey bees born?","a) Parthenogenesis","b) Fragmentation","c) Eggs","d) Spores","Answer: a"
"10. Asexual reproduction produces offsprings with variations.","a) False","b) True","Answer: a"
"1. What is sexual reproduction?","a) Fusion of male and female gamete","b) Fusion of male and male gamete","c) Fusion of female and female gamete","d) Either a male or a female gamete","Answer: a"
"2. What is phase when the organism is old enough to reproduce known as?","a) Juvenile phase","b) Vegetative phase","c) Senescence","d) Reproductive phase","Answer: d"
"3. In which plant species is it difficult to define the different phases (juvenile, reproductive phase)?","a) Biennial","b) Annual","c) Perennial","d) Seasonal","Answer: c"
"4. Which type of plants flower only once?","a) Monocarpic","b) Polycarpic","c) Vivipary","d) Unocarpic","Answer: a"
"5. Which type of plant flowers repeatedly?","a) Polypary","b) Vivipary","c) Polycarpic","d) Monocarpic","Answer: c"
"6. What are the 3 phases in a life cycle (in order)?","a) reproductive, senescence, juvenile","b) juvenile, senescence, death","c) reproductive, senescence, death","d) juvenile, reproductive, senescence","Answer: d"
"7. Name the sequence in which sexual reproduction is divided into?","a) fertilization, post-fertilization, reproduction","b) pre-fertilization, fertilization, post-fertilization","c) pre-fertilization, fertilization, reproduction","d) pre-fertilization, post-fertilization, fertilization","Answer: b"
"8. Which factor is responsible for the changes in the 3 phases in a life cycle?","a) Blood","b) Hormones","c) Respiration","d) Nervous system (in animals)","Answer: b"
"9. What process does the image show?","","a) Parthenogenesis","b) Fertilization","c) Torrulation","d) Sporolation","Answer: b"
"10. Sexual reproduction is a fast process.","a) False","b) True","Answer: a"
"1. What are the 2 main pre fertilization events?","a) Gamete transfer and fertilization","b) Gamete transfer and gametogenesis","c) Gametogenesis and fertilization","d) Gametogenesis and cell division","Answer: b"
"2. Gametes are diploid.","a) False","b) True","Answer: a"
"3. The male gamete is called as ___________","a) Antherozoid","b) Egg","c) Isogametes","d) Fucus","Answer: a"
"4. What are the male organs in a flowering plant called?","a) Carpels","b) Petals","c) Ovary","d) Stamen","Answer: d"
"5. Cucurbits and coconuts are examples of _______","a) Polycious","b) Dioecious","c) Trioecious","d) Monoecious","Answer: d"
"6. Which of the following is an example of a unisexual organism?","a) Earthworm","b) Cockroach","c) Tapeworm","d) Leech","Answer: b"
"7. Gametes in all ____ species are of 2 types.","a) Heterogametic","b) Homogametic","c) Mongametic","d) Polygametic","Answer: a"
"8. What are the cells in diploid organisms that undergo meiosis called?","a) mitocytes","b) meiocytes","c) polygametes","d) gametes","Answer: b"
"9. Which structure in the plant carries the male organ?","a) sperm","b) ovule","c) pollen grain","d) spores","Answer: c"
"10. What is shown in the following image?","","a) Ovaries","b) Stamen","c) Anther","d) Filament","Answer: a"
"1. What is syngamy?","a) Parthenogenesis","b) Gamete transfer","c) Fertilization","d) Gametogenesis","Answer: c"
"2. What is the most important event in sexual reproduction?","a) Fusion of gametes","b) Secondary sexual organs","c) Temperature","d) Environmental factors","Answer: a"
"3. The parthenogenesis is also called as ________","a) fertilization","b) syngamy","c) virgin birth","d) fusion","Answer: c"
"4. Parthenogenesis avoids wastage of germplasm.","a) True","b) False","Answer: a"
"5. ________ is retained throughout generations in parthenogenesis.","a) Phenotype","b) Genotype","c) Age","d) Generation","Answer: b"
"6. What is the disadvantage of parthenogenesis?","a) Wastage of germplasm","b) Retention of genotype","c) Lack of adaptability","d) Variety in population","Answer: c"
"7. Where does syngamy occur?","a) Terrestrial","b) Water","c) Outside","d) Internally","Answer: d"
"8. How are the non-motile pollen grains carried to the female gamete?","a) Insects","b) Pollen tube","c) Anther","d) Stalk","Answer: b"
"9. In which of the following does syngamy occur inside?","a) Algae","b) Amphibians","c) Fishes","d) Humans","Answer: d"
"10. External fertilization is safe.","a) False","b) True","Answer: a"
"1. What is the reproductive unit in angiosperms?","a) Flowers","b) Stalk","c) Pedicel","d) Leaf","Answer: a"
"2. Fruits and seeds are formed before fertilization.","a) True","b) False","Answer: b"
"3. What are the four whorls of the flower arranged on?","a) Ovaries","b) Stem","c) Petals","d) Thalamus","Answer: d"
"4. Why are petals unique in shape, odor, color, etc.?","a) Attraction","b) Pollination","c) Survival","d) Protection","Answer: b"
"5. What is a collection of sepals?","a) Calyx","b) Corolla","c) Petals","d) Style","Answer: a"
"6. Cross pollination offers variation.","a) True","b) False","Answer: a"
"7. What does the following picture depict?","","a) Gynoecium","b) Androecium","c) Self-pollination","d) Cross-pollination","Answer: a"
"8. Anthers and filaments form the _____","a) gynoecium","b) calyx","c) androecium","d) corolla","Answer: c"
"9. What is self-pollination?","a) Pollens of a flower falling on another flower","b) Pollens of a flower falling on the stigma of the same flower","c) Pollens of the flower falling of the stigma of another flower of the same plant","d) Pollens of a flower falling on any flower","Answer: b"
"10. What does the androecium produce?","a) Spores","b) Microspores","c) Egg","d) Ovules","Answer: b"
"1. What is androecium?","a) Stamens","b) Carpels","c) Corolla","d) Sepals","Answer: a"
"2. Stamens are the male reproductive structures.","a) True","b) False","Answer: a"
"3. What does the blue part stand for?","","a) Ovaries","b) Filament","c) Anther","d) Thalamus","Answer: d"
"4. What are the red spots in the picture?","","a) Pollen sac","b) Pollen grains","c) Eggs","d) Dirt","Answer: b"
"5. In Malvaceae anthers are _________","a) dithecous","b) trithecous","c) polythecous","d) monothecous","Answer: d"
"6. The 2 lobes of the anther are attached together by a sterile _______ tissue.","a) spongy","b) parenchymatous","c) schlerenchyma","d) pedicel","Answer: b"
"7. What does a connective possess?","a) Vascular strand","b) Parenchyma","c) Spongy cells","d) Corolla","Answer: a"
"8. How do the pollen grains break open from the pollen sacs?","a) Along the connective","b) Line of dehiscence","c) Grooves","d) Crack","Answer: b"
"9. There are 4 pollen sacs in a monothecous anther.","a) True","b) False","Answer: b"
"10. What are pollen sacs called?","a) Pollen sacs","b) Microspores","c) Microsporangia","d) Ovules","Answer: c"
"1. What is young anther made up of?","a) Meristematic cells","b) Parenchyma","c) Pores","d) Seeds","Answer: a"
