"1. The attraction is the real proof of an object being charged.","a) True","b) False","Answer: b"
"2. If an object is positively charged, theoretically the mass of the object ______","a) Increases slightly by a factor of 9.11*10-31 kg","b) Decreases slightly by a factor of 9.11*10-31 kg","c) Remains the same","d) May increase or decrease","Answer: b"
"3. Why is gold used in the Gold-leaf electroscope?","a) Gold is easily available in nature","b) Gold is malleable","c) Gold is conducting in nature","d) Gold is cheap","Answer: b"
"4. What happens to the plates of the apparatus if we measure alternating charge using a Gold-leaf oscilloscope?","a) It doesn’t diverge at all","b) It diverges momentarily","c) The plates give a proper divergence","d) The degree of divergence increases and decreases repeatedly","Answer: c"
"5. Which one of the following is the correct diagram of charge distribution in a hollow sphere?","a)","","b)","","c)","","d)","","Answer: a"
"6. Dr. Gilbert tried to hold a brass rod by hand and induce static electricity in it by friction. Why did he fail?","a) Static electricity is induced only on insulators while brass is conducting","b) The induced static charge flew through his hand and body to the ground","c) The static charge was not produced at all","d) It is not possible to induce static electricity by friction","Answer: b"
"7. Gold-leaf electroscope can be used _______","a) Only to detect the presence of charge","b) To detect the presence of charge as well as its nature (positive or negative)","c) To measure the surface charge density","d) To measure current","Answer: b"
"8. When a glass rod is rubbed with silk, what kind of charge will be developed on glass?","a)","","b)","","c)","","d) Cannot predict","Answer: a"
"9. 1 Coulomb = ________ Electro Static Unit.","a) 3*109","b) 3*108","c) 1.602*10-19","d) 2*109","Answer: a"
"10. Number of electrons in 1 Coulomb charge is _________","a) 6.25*1021","b) 6.25*1020","c) 6.25*1025","d) 6.25*1023","Answer: a"
"11. Two equally charged spheres attract each other. Now if they touch each other then they will _____","a) Attract each other with the same amount of force","b) Repel each other","c) Attract each other with less amount of force","d) Don’t attract or repel","Answer: d"
"12. Which among the following cannot be the charge of a charged body?","a) 4.8*10-14 Coulomb","b) 6.4*10-15 Coulomb","c) 5*10-14 Coulomb","d) 3.2*10-10 Coulomb","Answer: c"
"1. Current carrier in conductors is ____","a) Electron","b) Proton","c) Neutron","d) Positron","Answer: a"
"2. Which group among the following is insulator?","a) Silver, copper, gold","b) Paper, glass, cotton","c) The human body, wood, iron","d) Glass, copper, paper","Answer: b"
"3. The band gap between the valence band and conduction band is the measure of ______","a) The conductivity of the material","b) The resistivity of the material","c) Charge density","d) Ease of ionization","Answer: a"
"4. A static electricity experiment can be performed properly in any season. The statement is ______","a) True","b) False","Answer: b"
"5. The rubber used in the wheels of aero-plane is _________","a) Perfect insulator","b) Slightly conducting","c) Can be an insulator or conducting","d) Semiconductor","Answer: b"
"6. According to band theory, what are the true nature of the valence band and conduction band in conductors?","a)","","b)","","c)","","d) Have an energy gap which depends on the temperature","Answer: a"
"7. Insulation breakdown may occur at _______","a) High temperature","b) Low temperature","c) At any temperature","d) Depends on pressure","Answer: a"
"8. Superconductors have __________","a) Almost zero resistivity","b) Very high resistivity","c) Temperature-dependent resistivity","d) Moderate value of resistivity","Answer: a"
"1. A solid sphere will carry more charge than a hollow sphere of the same radius.","a) True","b) False","Answer: b"
"2. +q, +2q, +3q, +4q, ……(up to +20q) charges are situated at coordinates (0,0) , (1,0) ,(2,0) , ….. (Up to 20). What is the total charge stored in the system?","a) +20q","b) +210q","c) +420q","d) +190q","Answer: b"
"3. A charged conductor has its charge only on its outer surface. This statement is true for which of the following?","a) For all conductors","b) Only for spherical conductors","c) For hollow conductors","d) For those conductors which don’t have sharp edges","Answer: a"
"4. What is the unit of surface charge density in the SI unit?","a) C","b) C/m","c) C/m2","d) C/m3","Answer: c"
"5. What number of electrons will flow in one minute through a conductor that carries 1 Ampere current?","a) 5.2*1020","b) 4.2*1020","c) 3.7*1020","d) 3.7*1019","Answer: c"
"6. What is the dimension of volume charge density?","a) [MLAT-2] ","b) [M0 L-3 A T] ","c) [M L-3 A T] ","d) [M L-2 A T] ","Answer: b"
"7. Which one of the following is a safe place during lightning?","a) Under a tree","b) Under a light post","c) House with lightning arrester","d) High wall","Answer:c"
"8. What should be the shape of a conductor that can hold a charge for long?","a) Cubical","b) Conical","c) Sharp-edged","d) Spherical","Answer: d"
"9. A lightning arrester must have the following property.","a) Discontinuity","b) Poor conductivity","c) Needle end","d) Low melting point","Answer: c"
"10. Earth is the source of __________","a) An infinite positive and negative charge","b) Positive charge","c) Negative charge","d) Zero charge","Answer: a"
"11. Which one is not the property of charge?","a) Charge is additive","b) Charge is conserved","c) Quantization of charge","d) A charge is self-destructive","Answer: d"
"1. Coulomb’s Law is valid for ______","a) Only point charge","b) For both point charge and distributed charge","c) Only distributed charges","d) Neither distributed nor point charge","Answer: a"
"2. Coulomb’s Law is valid for any distance between the particles.","a) False","b) True","Answer: a"
"3. Which one of the following is similar between electrostatic force and gravitational force?","a) Force can be attractive or repulsive","b) The force depends on the medium between the bodies","c) Both the forces are strong forces","d) Force is inversely proportional to the distance between the bodies","Answer: d"
"4. Two 1 Coulomb charges are kept at 1m distance in air medium. Force of attraction or repulsion between them will be ________","a) 9*109 N","b) 1 dyne","c) 1 N","d) 3*103 N","Answer: a"
"5. Let B be the midpoint of AC. Two point charges Q are placed at A and C. What should be the value of charge placed at B so that the system remains at equilibrium?","a) –Q/2","b) –Q/4","c) +Q/2","d) +Q/4","Answer: b"
"6. 1 emu = __________ C","a) 10","b) 3*109","c) 4.8*10-10","d) 0.1","Answer: a"
"7. If the force between two charges is 9N, what will be the force if the distance between them is doubled and both the charges are increased to √2 times?","a) 9N","b) 4.5N","c) 3N","d) 3.75N","Answer: b"
"8. Two charges q1, q2 exert some amount of force on each other. What will happen to the force on q1 if another charge q3 is brought close to them?","a) The force will increase","b) The force will decrease","c) The force remains the same","d) The force may increase or decrease depending on whether q3 is positive or negative","Answer: d"
"9. Two negative charges are kept at a certain distance in the air medium. What will happen if a dielectric slab is inserted between them?","a) The slab will get heated","b) Current will flow through the slab","c) Two charges will attract each other","d) The net force between the charges will be reduced","Answer: d"
"10. According to Coulomb’s Law force between two charges is k*q1*q2r2. What will happen if one of the charges is zero?","a) No attraction or repulsion","b) Always attraction","c) Always repulsion","d) Cannot predict the nature of the force","Answer: b"
"11. What will be permittivity of a medium which has dielectric constant 5.4?","a) 4.78*10-11 C2N-1m-2","b) 8.85*10-10C2N-1m-2","c) 4.5*10-10C2N-1m-2","d) 3.2*10-11C2N-1m-2","Answer: a"
"12. The dimension of εo _______","a) [M-1L-3T4I2] ","b) [M-1L-3T4I4] ","c) [M-1L-3T2I2] ","d) [M1L-3T4I2] ","Answer: a"
"13. What is the C.G.S. unit of charge?","a) Stat Coulomb","b) Coulomb","c) EMU","d) Pascal","Answer: a"
"1. The amount of force exerted on a unit positive charge in an electric field is known as _____","a) Electric field intensity","b) Electric flux","c) Electric potential","d) Electric lines of force","Answer: a"
"2. The direction of electric field created by a negative charge is ___________","a) Directed outwards","b) Directed towards the charge","c) Maybe outwards or towards the charge","d) Circular in shape","Answer: b"
"3. Electric field inside a hollow conducting sphere ______","a) Increases with distance from the center of the sphere","b) Decreases with distance from the center of the sphere","c) Is zero","d) May increase or decrease with distance from the center","Answer: c"
"4. Electric field due to a uniformly charged hollow sphere at a distance of r (where r is greater than the radius of the sphere) is __________","a) Proportional to r","b) Inversely proportional to r","c) Proportional to r2","d) Inversely proportional to r2","Answer: d"
"5. Two point charges q1 and q2 are situated at a distance d. There is no such point in between them where the electric field is zero. What can we deduce?","a) There is no such point","b) The charges are of the same polarity","c) The charges are of opposite polarity","d) The charges must be unequal","Answer: c"
"6. A uniformly charged sphere of radius R has charge +Q. A point charge –q is placed at a distance of 2R from the center of the sphere. The point charge will execute the simple harmonic motion. The statement is _____","a) False","b) True","Answer: a"
"7. Two point charges of the same polarities are hung with the help of two threads and kept close. The angle between the threads will be _________ if the system is taken to space.","a) 180 degree","b) 90 degree","c) 45 degree","d) 60 degree","Answer: a"
"8. An electron of mass m is kept in a vertical electric field of magnitude E. What must be the value of E so that the electron doesn’t fall due to gravity?","a) m*g*e","b) e(m∗g) ","c) (m∗g)e ","d) 1(m∗g∗e) ","Answer: c"
"9. Electric field is a _______","a) Scalar quantity","b) Vector quantity","c) Tensor quantity","d) Quantity that has properties of both scalar and vector","Answer: b"
"10. Two point charges +4q and +q are kept at a distance of 30 cm from each other. At which point between them, the field intensity will be equal to zero?","a) 15cm away from the +4q charge","b) 20cm away from the +4q charge","c) 7.5cm away from the +q charge","d) 5cm away from the +q charge","Answer: b"
"11. What is the dimension of electric field intensity?","a) [M L T-2 I-1] ","b) [M L T-3 I-1] ","c) [M L T-2 I-2] ","d) [M L T-3 I] ","Answer: b"
"12. V/m is the unit of ______","a) Electric field intensity","b) Electric flux","c) Electric potential","d) Charge","Answer: a"
"13. Electric field intensity at the center of a square is _____ if +20 esu charges are placed at each corner of the square having side-length as 10 cm.","a) 0","b) 0.4 dyne/esu","c) 2 dyne/esu","d) 1.6 dyne/esu","Answer: a"
"14. A ball of 80mg mass and a 2*10-8 charge is hung with a thread in a uniform horizontal electric field of 2*104V/m. What is the angle made by the thread with vertical?","a) 27 degree","b) 30 degree","c) 45 degree","d) 0 degree","Answer: a"
"15. Find the electric field intensity at 10cm away from a point charge of 100 esu.","a) 1 dyne/esu","b) 10 dyne/esu","c) 100 dyne/esu","d) 9*109 dyne/esu","Answer: a"
"1. The electric field lines diverge from _______","a) Positive charge","b) Negative charge","c) Dipole","d) Zero potential point","Answer: a"
"2. Two electric field lines ______","a) Always intersect each other","b) Never intersect","c) May intersect sometimes","d) Are always perpendicular to each other","Answer: b"
"3. Consider the lines of force as shown in the figure. Two unit positive charges are kept at points A and B.","","a) Charge at A will suffer greater force","b) Charge at B will suffer greater force","c) Force at both points will be same but non-zero","d) Force at both points will be the same","Answer: b"
"4. Field lines due to a positive point charge are _______","a)","","b)","","c)","","d)","","Answer: d"
"5. Two plates are oppositely charged uniformly and kept parallel to each other at a certain distance. What will be the nature of electric field lines in between them?","a) Circular","b) Parallel to each other throughout the cross section","c) Not uniformly distributed","d) Parallel and uniform in central part but fringes out at the extreme ends","Answer: d"
"6. It is observed that N number of field lines come out perpendicularly from the unit surface area of the sphere. What is the amount of charge inside the sphere? ∈ is the dielectric constant of the medium.","a) -4πR2 N∈","b)  4πR2 N∈","c) 4πR2Nϵ ","d) –4πR2Nϵ ","Answer: b"
"7. A field line can diverge from and converge at the same conductor. The statement is _____","a) True","b) False","Answer: b"
"8. Which among the following is false about electric field lines?","a) They are continuous","b) They attract each other","c) They remain parallel in a uniform electric field","d) They diverge from positive charge","Answer: b"
