index,question,img_opt,A,B,C,D,Answer
1,1. Which of these is not a type of relation?,,a) Reflexive,b) Surjective,c) Symmetric,d) Transitive,Answer: b
2,2. An Equivalence relation is always symmetric.,,a) True,b) False,c) NONE,d) NONE,Answer: a
3,"3. Which of the following relations is symmetric but neither reflexive nor transitive for a set A = {1, 2, 3}.",,"a) R = {(1, 2), (1, 3), (1, 4)}","b) R = {(1, 2), (2, 1)}","c) R = {(1, 1), (2, 2), (3, 3)}","d) R = {(1, 1), (1, 2), (2, 3)}",Answer: b
4,"4. Which of the following relations is transitive but not reflexive for the set S={3, 4, 6}?",,"a) R = {(3, 4), (4, 6), (3, 6)}","b) R = {(1, 2), (1, 3), (1, 4)}","c) R = {(3, 3), (4, 4), (6, 6)}","d) R = {(3, 4), (4, 3)}",Answer: a
5,"5. Let R be a relation in the set N given by R={(a,b): a+b=5, b>1}. Which of the following will satisfy the given relation?",,"a) (2,3) ∈ R","b) (4,2) ∈ R","c) (2,1) ∈ R","d) (5,0) ∈ R",Answer: a
6,"6. Which of the following relations is reflexive but not transitive for the set T = {7, 8, 9}?",,"a) R = {(7, 7), (8, 8), (9, 9)}","b) R = {(7, 8), (8, 7), (8, 9)}",c) R = {0},"d) R = {(7, 8), (8, 8), (8, 9)}",Answer: a
7,"7. Let I be a set of all lines in a XY plane and R be a relation in I defined as R = {(I1, I2):I1 is parallel to I2}. What is the type of given relation?",,a) Reflexive relation,b) Transitive relation,c) Symmetric relation,d) Equivalence relation,Answer: d
8,"8. Which of the following relations is symmetric and transitive but not reflexive for the set I = {4, 5}?",,"a) R = {(4, 4), (5, 4), (5, 5)}","b) R = {(4, 4), (5, 5)}","c) R = {(4, 5), (5, 4)}","d) R = {(4, 5), (5, 4), (4, 4)}",Answer: d
9,"9. (a,a) ∈ R, for every a ∈ A. This condition is for which of the following relations?",,a) Reflexive relation,b) Symmetric relation,c) Equivalence relation,d) Transitive relation,Answer: a
10,"10. (a1, a2) ∈R implies that (a2, a1) ∈ R, for all a1, a2∈A. This condition is for which of the following relations?",,a) Equivalence relation,b) Reflexive relation,c) Symmetric relation,d) Universal relation,Answer: c
11,1. The following figure depicts which type of function?,,a) one-one,b) onto,c) many-one,d) both one-one and onto,Answer: a
12,2. The following figure represents which type of function?,,a) one-one,b) onto,c) many-one,d) neither one-one nor onto,Answer: b
13,3. A function f∶N→N is defined by f(x)=x2+12. What is the type of function here?,,a) bijective,b) surjective,c) injective,d) neither surjective nor injective,Answer: c
14,4. A function f:R→R is defined by f(x)=5x3-8. The type of function is _________________,,a) one -one,b) onto,c) many-one,d) both one-one and onto,Answer: c
15,5. The function f:R→R defined as f(x)=7x+4 is both one-one and onto.,,a) True,b) False,c) NONE,d) NONE,Answer: a
16,6. The following figure depicts which type of function?,,a) injective,b) bijective,c) surjective,d) neither injective nor surjective,Answer: b
17,7. A function f:R→R defined by f(x)=5x4+2 is one – one but not onto.,,a) True,b) False,c) NONE,d) NONE,Answer: b
18,"8. Let A={1,2,3} and B={4,5,6}. Which one of the following functions is bijective?",,"a) f={(2,4),(2,5),(2,6)}","b) f={(1,5),(2,4),(3,4)}","c) f={(1,4),(1,5),(1,6)}","d) f={(1,4),(2,5),(3,6)}",Answer: d
19,"9. Let P={10,20,30} and Q={5,10,15,20}. Which one of the following functions is one – one and not onto?",,"a) f={(10,5),(10,10),(10,15),(10,20)}","b) f={(10,5),(20,10),(30,15)}","c) f={(20,5),(20,10),(30,10)}","d) f={(10,5),(10,10),(20,15),(30,20)}",Answer: b
20,"10. Let M={5,6,7,8} and N={3,4,9,10}. Which one of the following functions is neither one-one nor onto?",,"a) f={(5,3),(5,4),(6,4),(8,9)}","b) f={(5,3),(6,4),(7,9),(8,10)}","c) f={(5,4),(5,9),(6,3),(7,10),(8,10)}","d) f={(6,4),(7,3),(7,9),(8,10)}",Answer: a
21,1. Let a binary operation ‘*’ be defined on a set A. The operation will be commutative if ________,,a) a*b=b*a,b) (a*b)*c=a*(b*c),c) (b ο c)*a=(b*a) ο (c*a),d) a*b=a,Answer: a
22,"2. Let a*b=6a4-9b4 be a binary operation on R, then * is commutative.",,a) True,b) False,c) NONE,d) NONE,Answer: b
23,"3. Let ‘*’ be a binary operation on N defined by a*b=a-b+ab2, then find 4*5.",,a) 9,b) 88,c) 98,d) 99,Answer: d
24,4. Let ‘*’ be defined on the set N. Which of the following are both commutative and associative?,,a) a*b=a+b,b) a*b=a-b,c) a*b=ab2,d) a*b=ab,Answer: a
25,5. Let ‘&’ be a binary operation defined on the set N. Which of the following definitions is commutative but not associative?,,a) a & b=a-b,b) a & b=a+b,c) a & b=ab – 8,d) a & b=ab,Answer: c
26,6. Let ‘*’ be a binary operation defined by a*b=4ab. Find (a*b)*a.,,a) 4a2 b,b) 16a2 b,c) 16ab2,d) 4ab2,Answer: b
27,7. Let ‘*’ and ‘^’ be two binary operations such that a*b=a2 b and a ^ b = 2a+b. Find (2*3) ^ (6*7).,,a) 256,b) 286,c) 276,d) 275,Answer: c
28,8. An element is said to be invertible only if there is an identity element in that binary operation.,,a) True,b) False,c) NONE,d) NONE,Answer: a
29,9. Let ‘*’ be a binary operation defined by a*b=3ab+5. Find 8*3.,,a) 1547,b) 1458,c) 1448,d) 1541,Answer: d
30,10. Which of the following is not a type of binary operation?,,a) Transitive,b) Commutative,c) Associative,d) Distributive,Answer: a
31,1. What will be the value of x + y + z if cos-1 x + cos-1 y + cos-1 z = 3π?,,a) -1/3,b) 1,c) 3,d) -3,Answer: d
32,2. Which value is similar to sin-1sin(6 π/7)?,,a) sin-1(π/7),b) cos-1(π/7),c) sin-1(2π/7),d) coses-1(π/7),Answer: a
33,"3. What is the value of sin-1(-x) for all x belongs to [-1, 1]?",,a) -sin-1(x),b) sin-1(x),c) 2sin-1(x),d) sin-1(-x)/2,Answer: a
34,4. What is the value of sin-1(sin 6)?,,a) -2π – 6,b) 2π + 6,c) either -2π + 6 or 2π + 6,d) 2π – 6,Answer: c
35,"5. What is the value of cos-1(-x) for all x belongs to [-1, 1]?",,a) cos-1(-x),b) π – cos-1(x),c) π – cos-1(-x),d) π + cos-1(x),Answer: b
36,6. The given graph is for which equation?,,a) y = sinx,b) y = sin-1x,c) y = cosecx,d) y = secx,Answer: b
37,7. The given graph is for which equation?,,a) cosec-1x,b) secx,c) cos-1x,d) cotx,Answer: c
38,8. The given graph is for which equation?,,a) y = cos-1x,b) y = cot-1x,c) y = cosec-1x,d) y = tan-1x,Answer: d
39,9. The given graph is for which equation?,,a) y = cot-1x,b) y = tan-1x,c) y = cotx,d) y = cosec-1x,Answer: a
40,10. The given graph is for which equation?,,a) y = sinx,b) y = log|sinx|,c) y = |sinx|,d) y = |cosx|,Answer: c
41,1. tan−13–√+sec−12–cos−11 is equal to ________,,a) 0,b) 2π3 ,c) π3 ,d) π4 ,Answer: b
42,2. What is the principle value of sec−1(23√).,,a) π6 ,b) π3 ,c) π4 ,d) π2 ,Answer: a
43,3. What is the value of tan11√3−sin−11+cos−112 is ________,,a) 2π,b) π2 ,c) π,d) 0,Answer: c
44,"4. [-1, 1] is the domain for which of the following inverse trigonometric functions?",,a) sin-1⁡x,b) cot-1⁡x,c) tan-1⁡x,d) sec-1⁡x,Answer: a
45,5. The domain of sin-1⁡(3x) is equal to _______,,"a) [-1, 1] ","b) [−13,13] ","c) [-3, 3] ","d) [-3π, 3π] ",Answer: b
46,6. What is the value of 5 cos−112+7sin−1(−12) ?,,a) –π2 ,b) π,c) π2 ,d) 17π6 ,Answer: c
47,7. Find the value of sin−1(sin4π3) is _______,,a) π,b) π3 ,c) 4π3 ,d) –π3 ,Answer: d
48,8. Find the value of cos(sin−13√2) is _____,,a) 3√2 ,b) 14 ,c) 12 ,d) 0,Answer: c
